Id,Song,Artist
01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots
7i9763l5SSfOnqZ35VOcfy,Heavydirtysoul,Twenty One Pilots
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed out,Twenty One Pilots
4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright,The Offspring
6nTiIhLmQ3FWhvrGafw2zj,American Idiot,Green Day
5Ohxk2dO5COHF1krpoPigN,Sign of the times,Harry Styles
5ZLCyAR6Ti5ueOiPGl41XH,Sleep Alone,Two Door Cinema Club
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys
4Smc57rqnTjKvz56WJaunv,Happy Song,Bring Me The Horizon
2eZjO58Qe9og2xmyfw4qwJ,Ludens,Bring Me The Horizon
6PcRGZGpM4a3wcaK59fPsZ,Paranoid,I Prevail
1tS3YIyOAczsBzjub9PrZj,Soak me in bleach,The Amity Affliction
7c8vaoaPChZNEFEPWoAQ4i,The Offering,Sleep Token
65nxwwEt3wwNv5hFqUQWph,Tapping out,Issues
2XAjNdO20yRaXSGARd6fCw,Chemical,The Devil Wears Prada
2gYCaUsqrnBOt7DymQCY6d,Legendary,Skillet
6GGpso9iwdxajUMNRlPAm5,Darkside,blink-182
5t1sJQEcAltWjCfGL50aQT,Grave,Wage War
6hyKhlwAvLvVh0ZysHFLnq,MONOMANIA,The Word Alive